,Title,URL,LCCN,Date,Description
525,"Have a date with us Free to you and your friends, motion pictures, concert music, exhibit talks, guided tours : American Museum of Natural History /",https://www.loc.gov/item/98513695/,98513695,1941,"1 print on board (poster) : silkscreen, color ; 56.2 x 35.8 cm (sheet) | Poster announcing opportunity for the public to attend free programs, such as movies, concerts, exhibits, and tours, at the American Museum of Natural History, Central Park West and 79 St., New York City, showing a totem pole."
526,"Help your neighborhood by keeping your premises clean Tenement House Dept. of the City of New York : F.H. La Guardia, Mayor : Langdon W. Post, Commissioner.",https://www.loc.gov/item/98513680/,98513680,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting better living conditions by keeping tenement neighborhoods clean."
527,"Popular Priced Theatre presents a hilarious farce by Paul Vulpius ""Help yourself.""",https://www.loc.gov/item/98513681/,98513681,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Help Yourself"" at the Adelphi Theatre, showing a man with his finger to his lips and holding a bag of money."
528,"WPA Federal Theatre Project 891 presents ""Horse eats hat"" Maxine Elliott's Theatre.",https://www.loc.gov/item/98513686/,98513686,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Horse Eats Hat"" at Maxine Elliott's Theatre, 109 West 39th St., showing a horse eating a hat."
529,"WPA Federal Theatre Project 891 - presents ""Horse eats hat"" Maxine Elliott's Theatre.",https://www.loc.gov/item/00650239/,00650239,1990,"1 print (poster) : silkscreen, color. | Facsimile of poster for Federal Theatre Project presentation of ""Horse Eats Hat"" at Maxine Elliott's Theatre, 109 West 39th St., showing a horse eating a hat."
530,WPA Federal Theatre [presents] If ye break faith,https://www.loc.gov/item/2001695223/,2001695223,1936,"1 print (poster) : silkscreen, color. | Poster for WPA Federal Theatre Project presentation of ""If Ye Break Faith"" showing the Grim Reaper with scythe harvesting cross-shaped tombstones."
531,If you can't go - buy war bonds Our bonds are their security!! : This hotel pledges a 100% payroll allotment.,https://www.loc.gov/item/98518536/,98518536,1941,"1 print on board (poster) : silkscreen, color. | Poster encouraging purchase of war bonds and participation through payroll allotments to support the war effort, showing a graph with hotel staff and soldiers."
532,John is not really dull - he may only need his eyes examined,https://www.loc.gov/item/98513999/,98513999,1936,"1 print on board (poster) : silkscreen, color. | Poster recommending eye examinations for children having difficulty learning, showing a woman holding an eye chart(?) in front of a boy reading a book."
533,"Just one long step to Sea Cliff, L.I. By land or water : 250 feet above sea level : No mosquitos!",https://www.loc.gov/item/98514124/,98514124,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting Sea Cliff, Long Island for tourism, showing buildings of the New York World's Fair."
534,Keep your teeth clean,https://www.loc.gov/item/92517367/,92517367,1936,"1 print (poster) : silkscreen, color ; 55.8 x 35.3 cm (board) | Poster promoting good oral hygiene, showing stylized face, toothbrush and toothpaste."
535,Know the risks involved Syphilis is acquired and transmitted largely by youth : Youth should receive special attention : Consult a reputable physician.,https://www.loc.gov/item/98518548/,98518548,1936,"1 print on board (poster) : silkscreen, color. | Poster encouraging examinations for syphilis."
536,Know the world you live in Free informal study groups : Workers education project.,https://www.loc.gov/item/98513765/,98513765,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing informal study groups among workers."
537,Lack of funds need not discourage from seeking competent medical care consult your health bureau.,https://www.loc.gov/item/98514285/,98514285,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting better health care."
538,"Model yacht and motor boat races Final championship, Conservatory Lake 72nd St. and 5th Ave., Central Park.",https://www.loc.gov/item/98513938/,98513938,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing final championship of model boat races, showing model sailboats."
539,Give to the needy Join the mayor's welfare milk fund : Monster vaudeville show at the Laurel Theatre.,https://www.loc.gov/item/94502853/,94502853,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing vaudeville show to raise funds for the needy through New York City Mayor Edwards' milk fund, showing a large bottle of milk."
540,More courtesy,https://www.loc.gov/item/98518549/,98518549,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting better interpersonal communications in the workplace, showing an angry man seated behind a desk and a cowering subordinate."
541,More courtesy,https://www.loc.gov/item/98518550/,98518550,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting better interpersonal communications in the workplace, showing two men arguing."
542,Murals for the community,https://www.loc.gov/item/98513947/,98513947,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing a Federal Art Project, Works Progress Administration exhibit of murals at the Federal Art Gallery, 225 West 57th St., New York City."
543,Must we always have this? Why not housing?,https://www.loc.gov/item/98518552/,98518552,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting planned housing as the solution to a host of inner-city problems, showing an inkblot on which are drawn elements of inner-city life."
544,"The Athletic & Recreation Dept. presents Nassau Suffolk W.P.A. Symphony Orchestra Guest artist Jeanne Gordon, soprano - Christos Vrionides, conductor : Popular & semi-classic music.",https://www.loc.gov/item/98513994/,98513994,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing concert by the Nassau Suffolk W.P.A. Symphony Orchestra at the Post Gym at Mitchel Field."
545,Neighborhood fingerprint station Fingerprints are your identification and protection during wartime - have the entire family take theirs now! : War Identification Bureau - CDVO /,https://www.loc.gov/item/98513949/,98513949,1941,"1 print on board (poster) : silkscreen, color. | Poster stressing the importance of having fingerprints on file as a form of identification during the war years."
546,"Oceanside High School Masque Society will present 4 one act plays ""Riders to the sea,"" ""When the horns blow,"" ""A new school for wives,"" and ""A minuet""",https://www.loc.gov/item/98514286/,98514286,1939,"1 print on board (poster) : silkscreen, color. | Poster for Oceanside High School presentation of four one act plays at the Jr. High School auditorium, showing the masks of tragedy and comedy."
547,"Olympic bobsled run, Lake Placid Up where winter calls to play.",https://www.loc.gov/item/94502739/,94502739,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting winter sports, showing four man bobsledding on bobsled run."
548,100 water colors by easel artists of the New York City WPA Art Project,https://www.loc.gov/item/98514340/,98514340,1940,"1 print on board (poster) : silkscreen, color. | Poster announcing exhibition of watercolors at the Windsor Tower Grey Room, showing watercolor of woman with flowers."
549,"Parks exhibition International Building, Rockefeller Center /",https://www.loc.gov/item/98514341/,98514341,1936,"1 print on board (poster) : silkscreen, color. | Poster for exhibition at the International Building, Rockefeller Center, New York City, showing stylized illustration of tree in front of cage containing a wild cat."
550,"""The path of flowers"" A new farce-comedy by Valentine Katayev.",https://www.loc.gov/item/98514342/,98514342,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""The Path of Flowers"" at the Experimental Theatre (Daly's), 63rd St. east of Broaday, New York City, New York, showing drawing of a man with flowers."
551,Planned housing fights disease,https://www.loc.gov/item/98518564/,98518564,1936,"Poster promoting planned housing as a method to deter disease in cities, showing microorganisms."
552,"W.P.A. Federal Theatre Project Living Newspaper presents ""Power"" by Arthur Arent",https://www.loc.gov/item/98514343/,98514343,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Power"" by Arthur Arent at the Ritz Theatre, 48th Street west of Broadway, New York City, New York, showing a gear."
553,W.P.A. concerts of unusual music Pre-Bach to moderns : 8 consecutive wednesday evenings.,https://www.loc.gov/item/98514344/,98514344,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Music Project presentation of concert series free to the public, showing a stylized grand piano."
554,"The President's birthday ball ""So we may dance again"" Fight infantile paralysis.",https://www.loc.gov/item/98514345/,98514345,1936,"1 print on board (poster) : silkscreen, color. | Poster for The President Hotel's birthday ball ""so we may dance again"" to raise funds in support of the fight to cure infantile paralysis."
555,Reduced fire hazard thru planned housing,https://www.loc.gov/item/98518565/,98518565,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting planned housing as a method to reduce fire hazards in cities."
556,Regional art exhibition - New Jersey and New York State Federal Art Project Works Progress Administration - Federal Art Gallery.,https://www.loc.gov/item/98514619/,98514619,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of regional art (New Jersey and New York) at the Federal Art Gallery, 225 West 57 St., New York City, showing a stylized eagle and palette."
557,"Regional exhibition Work by New York State and New Jersey artists : Aug. 16 to Sept. 8, 1938 Federal Art Gallery : Federal Art Project Works Progress Administration.",https://www.loc.gov/item/98514624/,98514624,1938,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of regional art (New Jersey and New York) at the Federal Art Gallery, 225 West 57 St., New York City, showing a stylized gallery view."
558,"Register now - informal study group WPA Workers Education Project, Henry Street Settlement.",https://www.loc.gov/item/98514515/,98514515,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing formation of educational study groups for workers at the Henry Street Settlement, 263 Henry Street, New York."
559,Result Three killed by speeding car at dark corner.,https://www.loc.gov/item/98518566/,98518566,1936,"1 print on board (poster) : silkscreen, color. | Poster about the possible hazards resulting from vandalism, showing a child throwing a stone at a street light."
560,"""Say it with stamps"" Buy!! Nassau County poster stamps : ""What helps Nassau helps you!""",https://www.loc.gov/item/98514633/,98514633,1936,Poster for Nassau County Association fund raising drive stamp sale showing the Trylon and Perisphere at the 1939 New York World's Fair.
561,Sculpture exhibition A survey of work produced by artists in the Sculpture Division of the WPA Federal Art Project.,https://www.loc.gov/item/98514728/,98514728,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing exhibit of sculpture by WPA Federal Art Project artists at the WPA Federal Art Project Gallery, 7 East 38 Street, New York City."
